Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
1ST TIER UNIFINE PENTIPS ,"PEN NEEDLE, DIABETIC ",4214,10749,18655.8,257895.63,5173,  ,8172,14479.8,193137.73,  ,3943,N ,N ,N ,N 
1ST TIER UNIFINE PENTIPS PLUS ,"PEN NEEDLE, DIABETIC ",1413,2943,5276.2,73396.65,1470,  ,2149,3996,52854.30,  ,1118,N ,N ,N ,N 
ABACAVIR ,ABACAVIR SULFATE ,5613,69213,75740.9,24577740.78,9317,  ,20633,23601.1,7579272.86,  ,2801,N ,N ,N ,N 
ABACAVIR-LAMIVUDINE-ZIDOVUDINE ,ABACAVIR/LAMIVUDINE/ZIDOVUDINE ,1466,12206,12934.2,16611593.20,1620,  ,3727,4117.9,5268369.97,  ,495,N ,N ,N ,N 
ABELCET ,AMPHOTERICIN B LIPID COMPLEX ,49,439,459.1,552847.75,102,  ,299,304.1,348991.75,  ,59,N ,N ,N ,N 
ABILIFY ,ARIPIPRAZOLE ,106859,1635259,1755555.6,1572043863.60,322498,  ,528209,574013.5,436175032.53,  ,101335,N ,N ,N ,Y 
ABILIFY DISCMELT ,ARIPIPRAZOLE ,769,2790,2928.1,3735192.84,742,  ,711,752.4,765848.41,  ,164,N ,N ,N ,Y 
ABILIFY MAINTENA ,ARIPIPRAZOLE ,7978,92206,92534.3,148252277.21,13997,  ,6882,6914.6,10839411.81,  ,1098,N ,N ,N ,Y 
ABRAXANE ,PACLITAXEL PROTEIN-BOUND ,134,824,827.6,4481987.77,226,  ,693,696.6,3761233.87,  ,192,N ,N ,N ,N 
ABSORICA ,ISOTRETINOIN ,113,224,224,287388.53,106,  ,106,106,131941.16,  ,48,N ,N ,N ,N 
ABSTRAL ,FENTANYL CITRATE ,125,838,856.7,7192140.53,172,  ,255,265.2,1770897.78,  ,66,Y ,N ,N ,N 
ACAMPROSATE CALCIUM ,ACAMPROSATE CALCIUM ,7961,29168,31830.4,4291794.59,8974,  ,9297,10868.3,1377477.40,  ,3155,N ,N ,N ,N 
ACANYA ,CLINDAMYCIN PHOS/BENZOYL PEROX ,446,799,873.1,360520.84,452,  ,405,455.8,182720.64,  ,272,N ,N ,N ,N 
ACARBOSE ,ACARBOSE ,24258,205700,306588.6,11871864.89,42217,  ,174066,265339.6,10249806.74,  ,35923,N ,N ,N ,N 
ACCOLATE ,ZAFIRLUKAST ,411,1711,2568.3,472524.13,361,  ,1353,2049.9,375517.44,  ,283,N ,N ,N ,N 
ACCUPRIL ,QUINAPRIL HCL ,1240,5761,10017,1129160.93,1088,  ,5382,9420.7,1057078.71,  ,1026,N ,N ,N ,N 
ACCURETIC ,QUINAPRIL/HYDROCHLOROTHIAZIDE ,114,373,719.7,77105.43,91,  ,353,689.7,74133.60,# ,,N ,N ,N ,N 
ACEBUTOLOL HCL ,ACEBUTOLOL HCL ,19539,124018,234612.4,2755349.13,23586,  ,114890,221233.7,2580535.90,  ,22001,N ,N ,N ,N 
ACETAMINOPHEN-CODEINE ,ACETAMINOPHEN WITH CODEINE ,393864,3677983,3741129.5,43784599.61,1721674,  ,2694527,2749031.3,31921863.16,  ,1307758,Y ,N ,N ,N 
ACETASOL HC ,ACETIC ACID/HYDROCORTISONE ,417,564,592.8,76243.00,462,  ,464,489.3,62065.92,  ,382,N ,N ,N ,N 
ACETAZOLAMIDE ,ACETAZOLAMIDE ,55868,300510,366481.8,37165427.93,105279,  ,223038,273692,24788246.43,  ,87865,N ,N ,N ,N 
ACETIC ACID ,ACETIC ACID ,16972,56620,59037.2,1210843.95,28891,  ,40908,42845.6,885357.39,  ,22720,N ,N ,N ,N 
ACETIC ACID-ALUMINUM ,ACETIC ACID/ALUMINUM ACETATE ,2006,4633,5796.3,272722.06,3348,  ,3397,4358.2,199933.40,  ,2657,N ,N ,N ,N 
ACETYLCYSTEINE ,ACETYLCYSTEINE ,5159,25500,25681.1,1373841.62,7633,  ,19476,19623.4,1018236.37,  ,6296,N ,N ,N ,N 
ACIPHEX ,RABEPRAZOLE SODIUM ,7555,36488,58444,30821423.28,7199,  ,30190,49828.7,25626284.07,  ,6147,N ,N ,N ,N 
ACIPHEX SPRINKLE ,RABEPRAZOLE SODIUM ,39,85,99,57252.66,39,  ,46,60,33755.30,# ,,N ,N ,N ,N 
ACITRETIN ,ACITRETIN ,5593,34365,39965.1,30930988.87,7969,  ,25106,30143.8,22467943.92,  ,6121,N ,N ,N ,N 
ACTEMRA ,TOCILIZUMAB ,1671,17896,19568.7,43506165.44,2925,  ,9067,10127.3,21690122.16,  ,1431,N ,N ,N ,N 
ACTHIB ,HAEMOPH B POLY CONJ-TET TOX/PF ,523,679,683.9,26371.43,588,  ,536,540,20644.19,  ,471,N ,N ,N ,N 
ACTIGALL ,URSODIOL ,214,865,1391.7,835932.32,190,  ,737,1231.7,741628.14,  ,161,N ,N ,N ,N 
ACTIMMUNE ,"INTERFERON GAMMA-1B,RECOMB. ",60,505,509,24298651.79,62,  ,273,273,14123193.89,  ,37,N ,N ,N ,N 
ACTIQ ,FENTANYL CITRATE ,40,220,228,2781813.95,36,  ,78,78,844932.17,* ,,Y ,N ,N ,N 
ACTIVE OB ,"PNV NO.66/IRON,CARBONYL/FA/DHA ",,12,16,1455.23,,* ,,,,* ,,N ,N ,N ,N 
ACTIVELLA ,ESTRADIOL/NORETHINDRONE ACET ,516,2371,3431.3,654367.36,483,  ,1966,2920.9,555798.96,  ,412,N ,N ,Y ,N 
ACTONEL ,RISEDRONATE SODIUM ,31254,129872,190386.9,45290137.20,39651,  ,121306,179682.1,42690459.08,  ,37319,N ,N ,N ,N 
ACTOPLUS MET ,PIOGLITAZONE HCL/METFORMIN HCL ,336,1355,2111.2,927246.26,322,  ,1211,1864.2,811239.40,  ,282,N ,N ,N ,N 
ACTOPLUS MET XR ,PIOGLITAZONE HCL/METFORMIN HCL ,877,3352,6101,2799788.25,877,  ,2964,5505,2504811.63,  ,773,N ,N ,N ,N 
ACTOS ,PIOGLITAZONE HCL ,1649,6764,10973.3,4862952.80,1554,  ,5950,9786.6,4294352.91,  ,1363,N ,N ,N ,N 
ACULAR ,KETOROLAC TROMETHAMINE ,197,451,526.9,105496.14,202,  ,408,475.6,97743.48,  ,187,N ,N ,N ,N 
ACULAR LS ,KETOROLAC TROMETHAMINE ,251,573,633.9,127423.16,277,  ,538,589.4,116646.80,  ,253,N ,N ,N ,N 
ACUVAIL ,KETOROLAC TROMETHAMINE/PF ,472,1655,1874.9,520734.95,877,  ,1535,1733.1,481745.05,  ,819,N ,N ,N ,N 
ACYCLOVIR ,ACYCLOVIR ,263063,1611972,2078292,69571968.15,639857,  ,1182613,1571331.9,51665929.86,  ,497670,N ,N ,N ,N 
ACYCLOVIR SODIUM ,ACYCLOVIR SODIUM ,168,414,414,84820.06,167,  ,313,313,58242.77,  ,122,N ,N ,N ,N 
ACZONE ,DAPSONE ,2185,4796,5398.7,2003446.38,2572,  ,2660,3072.3,1106659.06,  ,1583,N ,N ,N ,N 
ADACEL TDAP ,"DIPH,PERTUSS(ACELL),TET VAC/PF ",42662,189769,190035.9,10995744.63,188924,  ,166229,166459.6,9611137.41,  ,165519,N ,N ,N ,N 
ADAGEN ,PEGADEMASE BOVINE ,,13,13,1294159.17,,  ,,,0.00,  ,,N ,N ,N ,N 
ADALAT CC ,NIFEDIPINE ,509,2285,3821.7,271566.58,442,  ,2123,3583.6,251790.76,  ,405,N ,N ,N ,N 
ADAPALENE ,ADAPALENE ,4349,10170,10950.1,1683165.54,5198,  ,3897,4451.4,677846.02,  ,2382,N ,N ,N ,N 
ADCETRIS ,BRENTUXIMAB VEDOTIN ,,15,15,208201.73,,* ,,,,* ,,N ,N ,N ,N 
ADCIRCA ,TADALAFIL ,4055,83460,91350,212498171.56,10652,  ,57479,63671.8,147461233.05,  ,7396,N ,N ,N ,N 
ADDERALL ,DEXTROAMPHETAMINE/AMPHETAMINE ,1592,6281,6691.1,2358995.67,1322,  ,1555,1737,559632.00,  ,345,N ,N ,N ,N 
ADDERALL XR ,DEXTROAMPHETAMINE/AMPHETAMINE ,6284,26644,33520.7,9165758.77,6045,  ,7989,12144,2802700.89,  ,1813,N ,N ,N ,N 
