Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
1ST TIER UNIFINE PENTIPS ,"NEEDLES, INSULIN DISPOSABLE ",1424,5314,7970.1,114339.09,1874,  ,3936,5927,83116.67,  ,1375,N ,N ,N ,N 
1ST TIER UNIFINE PENTIPS ,"PEN NEEDLE, DIABETIC,DISP UNIT ",877,1474,2687.5,36410.57,895,  ,1122,2108.8,27383.87,  ,693,N ,N ,N ,N 
1ST TIER UNIFINE PENTIPS PLUS ,"NEEDLES, INSULIN DISPOSABLE ",605,1137,1939.6,27282.97,619,  ,827,1435.3,19119.06,  ,455,N ,N ,N ,N 
ABACAVIR ,ABACAVIR SULFATE ,5377,68237,74537.4,27953090.52,9073,  ,18155,20633.5,7656577.45,  ,2414,N ,N ,N ,N 
ABACAVIR-LAMIVUDINE-ZIDOVUDINE ,ABACAVIR/LAMIVUDINE/ZIDOVUDINE ,1626,12201,13107.2,17167220.41,1821,  ,3248,3644.9,4727657.74,  ,485,N ,N ,N ,N 
ABELCET ,AMPHOTERICIN B LIPID COMPLEX ,62,419,444.7,514240.20,116,  ,222,229.8,251570.64,  ,63,N ,N ,N ,N 
ABILIFY ,ARIPIPRAZOLE ,130933,2963457,3210958.9,2526731476.40,405048,  ,992041,1095657.7,730849128.78,  ,131053,N ,N ,N ,Y 
ABILIFY DISCMELT ,ARIPIPRAZOLE ,1033,5186,5454.8,6282391.38,951,  ,1305,1380.4,1340110.28,  ,211,N ,N ,N ,Y 
ABILIFY MAINTENA ,ARIPIPRAZOLE ,5494,54734,54981.6,83327051.67,9635,  ,3673,3690.2,5447996.94,  ,697,N ,N ,N ,Y 
ABRAXANE ,PACLITAXEL PROTEIN-BOUND ,151,835,838.4,4546656.69,257,  ,699,702.4,3737399.49,  ,221,N ,N ,N ,N 
ABSORICA ,ISOTRETINOIN ,128,239,239,306824.58,115,  ,72,72,83698.60,  ,42,N ,N ,N ,N 
ABSTRAL ,FENTANYL CITRATE ,106,612,622.6,3820093.09,210,  ,217,225.2,944144.75,  ,75,Y ,N ,N ,N 
ACAMPROSATE CALCIUM ,ACAMPROSATE CALCIUM ,6950,24852,26994,3926354.81,7758,  ,7148,8433.6,1157238.37,  ,2547,N ,N ,N ,N 
ACANYA ,CLINDAMYCIN PHOS/BENZOYL PEROX ,550,911,967.9,351156.40,572,  ,477,522.1,184046.32,  ,334,N ,N ,N ,N 
ACARBOSE ,ACARBOSE ,23749,206481,302119.2,12325039.66,42008,  ,174571,260915.2,10621452.14,  ,35629,N ,N ,N ,N 
ACCOLATE ,ZAFIRLUKAST ,521,2276,3272.3,365249.69,467,  ,1771,2578.7,286671.77,  ,357,N ,N ,N ,N 
ACCUPRIL ,QUINAPRIL HCL ,1486,6114,10777.6,1050336.08,1317,  ,5710,10162.7,987327.97,  ,1234,N ,N ,N ,N 
ACCURETIC ,QUINAPRIL/HYDROCHLOROTHIAZIDE ,127,465,820.3,76619.99,113,  ,439,784.3,72712.69,# ,,N ,N ,N ,N 
ACEBUTOLOL HCL ,ACEBUTOLOL HCL ,20035,130820,241158.7,3525078.10,24323,  ,121221,227070.2,3306518.58,  ,22707,N ,N ,N ,N 
ACETAMINOPHEN-BUTALBITAL ,BUTALBITAL/ACETAMINOPHEN ,4329,13304,14019.7,602320.84,4931,  ,7619,8224.3,364407.98,  ,2944,N ,N ,Y ,N 
ACETAMINOPHEN-CODEINE ,ACETAMINOPHEN WITH CODEINE ,360564,2854273,2918101.1,31565123.75,1346864,  ,2131138,2186600.6,23576129.16,  ,1022837,Y ,N ,N ,N 
ACETASOL HC ,ACETIC ACID/HYDROCORTISONE ,685,1023,1046.4,150393.92,780,  ,809,831.2,118292.62,  ,627,N ,N ,N ,N 
ACETAZOLAMIDE ,ACETAZOLAMIDE ,52866,288790,349834.5,31233325.05,100136,  ,213417,260282.3,20777425.44,  ,83208,N ,N ,N ,N 
ACETIC ACID ,ACETIC ACID ,15855,53856,55946.9,1231809.33,26679,  ,38624,40329.2,898454.10,  ,20760,N ,N ,N ,N 
ACETIC ACID-ALUMINUM ,ACETIC ACID/ALUMINUM ACETATE ,1948,4393,5324.3,254718.58,3227,  ,3112,3856.6,184235.94,  ,2480,N ,N ,N ,N 
ACETYLCYSTEINE ,ACETYLCYSTEINE ,5183,20896,21188,1413703.49,7237,  ,15801,16052.2,1044443.78,  ,6001,N ,N ,N ,N 
ACIPHEX ,RABEPRAZOLE SODIUM ,11861,50752,77526.1,33259791.60,12157,  ,42352,66486.9,27974922.45,  ,10276,N ,N ,N ,N 
ACIPHEX SPRINKLE ,RABEPRAZOLE SODIUM ,19,33,43,19112.97,18,  ,18,26,12348.44,# ,,N ,N ,N ,N 
ACITRETIN ,ACITRETIN ,5595,35029,40649,33143961.76,8965,  ,24859,29752.4,23439558.93,  ,6701,N ,N ,N ,N 
ACTEMRA ,TOCILIZUMAB ,1252,12033,13067.1,24646418.64,2186,  ,5606,6257.3,11298785.73,  ,1019,N ,N ,N ,N 
ACTHIB ,HAEMOPH B POLY CONJ-TET TOX/PF ,509,597,599,21933.20,544,  ,501,503,18466.81,  ,459,N ,N ,N ,N 
ACTIGALL ,URSODIOL ,205,858,1414.9,776091.16,187,  ,723,1232.9,666881.33,  ,159,N ,N ,N ,N 
ACTIMMUNE ,"INTERFERON GAMMA-1B,RECOMB. ",63,545,565.9,18526139.54,59,  ,357,367.6,12762739.93,  ,35,N ,N ,N ,N 
ACTIQ ,FENTANYL CITRATE ,58,346,362,3766131.95,50,  ,56,56,563924.95,  ,14,Y ,N ,N ,N 
ACTIVELLA ,ESTRADIOL/NORETHINDRONE ACET ,739,2990,4260.1,642135.67,719,  ,2469,3612.1,543023.51,  ,599,N ,N ,Y ,N 
ACTONEL ,RISEDRONATE SODIUM ,71289,498354,743955.3,151200156.69,119078,  ,466593,703160.2,142802211.85,  ,111995,N ,N ,N ,N 
ACTOPLUS MET ,PIOGLITAZONE HCL/METFORMIN HCL ,903,2587,3783.6,1395209.87,925,  ,2236,3283.2,1198700.97,  ,788,N ,N ,N ,N 
ACTOPLUS MET XR ,PIOGLITAZONE HCL/METFORMIN HCL ,1113,4024,7034.4,2708852.42,1109,  ,3481,6294.3,2393123.14,  ,950,N ,N ,N ,N 
ACTOS ,PIOGLITAZONE HCL ,4021,13325,19515.4,7003953.40,4163,  ,11475,17058.1,6107274.52,  ,3569,N ,N ,N ,N 
ACULAR ,KETOROLAC TROMETHAMINE ,331,706,802.5,139160.06,359,  ,643,726.5,128503.07,  ,323,N ,N ,N ,N 
ACULAR LS ,KETOROLAC TROMETHAMINE ,1011,1978,2110,346808.81,1253,  ,1818,1937.3,320712.54,  ,1139,N ,N ,N ,N 
ACUVAIL ,KETOROLAC TROMETHAMINE/PF ,717,2460,2756.1,648836.65,1447,  ,2296,2563.5,597045.66,  ,1349,N ,N ,N ,N 
ACYCLOVIR ,ACYCLOVIR ,255061,1526789,1931827,76204589.25,617002,  ,1102410,1436700.3,56761174.43,  ,475040,N ,N ,N ,N 
ACYCLOVIR SODIUM ,ACYCLOVIR SODIUM ,171,434,434,101085.52,171,  ,300,300,59805.03,  ,115,N ,N ,N ,N 
